"","YEAR_CD","YM_CD","SD_NM","SIGUNGU_NM","DONG_CD","DONG_NM","MK_NUM","SMK_NUM","OP_MK_NUM","CLS_MK_NUM","FRC_MK_NUM","OP_RATE","CLS_RATE","DT","IN","OUT","PARKING"
"164",2021,202112,"서울","동대문구",11230660,"장안2동",1636,2033,72,73,397,0.0440097799511002,0.0446210268948655,30083,3782,4239,1016
"165",2021,202112,"서울","동대문구",11230705,"청량리동",208,236,7,5,28,0.0336538461538462,0.0240384615384615,16067,2058,2747,463
"166",2021,202112,"서울","동대문구",11230710,"회기동",1379,1697,61,60,318,0.0442349528643945,0.0435097897026831,16746,2576,2423,592
"167",2021,202112,"서울","동대문구",11230720,"휘경1동",510,645,13,16,135,0.0254901960784314,0.0313725490196078,25563,3048,2661,457
"168",2021,202112,"서울","동대문구",11230730,"휘경2동",302,358,17,11,56,0.0562913907284768,0.0364238410596026,23664,3869,3898,834
"169",2021,202112,"서울","동대문구",11230740,"이문1동",801,962,22,23,161,0.0274656679151061,0.0287141073657928,20067,3344,3417,730
"170",2021,202112,"서울","동대문구",11230750,"이문2동",29,29,0,1,0,0,0.0344827586206897,29590,2150,2487,293
"171",2021,202112,"서울","동작구",11590510,"노량진1동",1871,2293,49,76,422,0.0261892036344201,0.0406199893105291,20442,5978,6099,443
"172",2021,202112,"서울","동작구",11590520,"노량진2동",384,430,13,18,46,0.0338541666666667,0.046875,18047,2455,4176,140
"173",2021,202112,"서울","동작구",11590530,"상도1동",1150,1550,43,50,400,0.0373913043478261,0.0434782608695652,30123,7057,7950,982
"174",2021,202112,"서울","동작구",11590540,"상도2동",664,820,20,26,156,0.0301204819277108,0.0391566265060241,28941,6402,6072,427
"175",2021,202112,"서울","동작구",11590550,"상도3동",304,379,15,14,75,0.0493421052631579,0.0460526315789474,41410,3707,4054,942
"176",2021,202112,"서울","동작구",11590560,"상도4동",369,458,20,18,89,0.0542005420054201,0.0487804878048781,38552,4226,4493,1175
"177",2021,202112,"서울","동작구",11590605,"흑석동",639,803,12,18,164,0.0187793427230047,0.028169014084507,19817,4118,4677,294
"178",2021,202112,"서울","동작구",11590620,"사당1동",1118,1285,41,34,167,0.0366726296958855,0.0304114490161002,29520,4857,5014,1011
"179",2021,202112,"서울","동작구",11590630,"사당2동",1855,2260,75,86,405,0.0404312668463612,0.0463611859838275,10235,5018,4265,409
"180",2021,202112,"서울","동작구",11590640,"사당3동",159,215,5,6,56,0.0314465408805031,0.0377358490566038,26683,3358,3929,319
"181",2021,202112,"서울","동작구",11590650,"사당4동",437,533,18,16,96,0.0411899313501144,0.0366132723112128,37634,2336,2574,581
"182",2021,202112,"서울","동작구",11590651,"사당5동",55,63,4,3,8,0.0727272727272727,0.0545454545454545,25540,1958,2199,321
"183",2021,202112,"서울","동작구",11590660,"대방동",843,1111,36,33,268,0.0427046263345196,0.0391459074733096,24734,5306,5985,731
"184",2021,202112,"서울","동작구",11590670,"신대방1동",455,529,17,19,74,0.0373626373626374,0.0417582417582418,40321,2747,3192,387
"185",2021,202112,"서울","동작구",11590680,"신대방2동",919,1180,49,40,261,0.0533188248095756,0.043525571273123,20781,4734,3632,510
"186",2021,202112,"서울","마포구",11440555,"아현동",683,758,22,21,75,0.0322108345534407,0.0307467057101025,33797,3558,3994,430
"187",2021,202112,"서울","마포구",11440565,"공덕동",1465,1809,68,60,344,0.0464163822525597,0.0409556313993174,37418,5581,6271,776
"188",2021,202112,"서울","마포구",11440585,"도화동",1036,1233,35,31,197,0.0337837837837838,0.0299227799227799,34502,2766,3161,301
"189",2021,202112,"서울","마포구",11440590,"용강동",1026,1221,59,44,195,0.057504873294347,0.0428849902534113,26236,2845,3021,1114
"190",2021,202112,"서울","마포구",11440600,"대흥동",408,470,32,21,62,0.0784313725490196,0.0514705882352941,18216,3448,3246,780
"191",2021,202112,"서울","마포구",11440610,"염리동",508,623,19,16,115,0.0374015748031496,0.031496062992126,40130,6807,2133,414
